歌曲名,艺术家,专辑名,id,歌曲来源名称,封面,时长
걱정말아요 그대,全仁权,전인권 4집(전인권과 안 싸우는 사람들),wy_488839448,wy,http://p2.music.126.net/Wg3K4UHIaXYn9WtfqgkUDw==/109951169159556368.jpg,04:40
追梦赤子心,GALA,追梦痴子心,wy_355992,wy,http://p2.music.126.net/XDncptlBJ4_LN3hLBx-8aw==/19061133579343591.jpg,05:17
夜车,曾轶可,一只猫的旅行 Forever 21,wy_340376,wy,http://p1.music.126.net/s7Cn8bl21KY7kGiBWMdaFg==/109951163105666561.jpg,03:11
靠近,罗震环,爱不老-罗震环2020 - EP,wy_25639009,wy,http://p2.music.126.net/izoxLq0U8dSR-5U8Lx5OIw==/109951168091651200.jpg,03:50
若把你,Kirsty刘瑾睿,若把你,wy_865632948,wy,http://p1.music.126.net/M877M2-VhWZiLPVFORf9iQ==/109951163401482434.jpg,03:09
怎叹,郑鱼,怎叹,kg_109861957,kg,http://imge.kugou.com/stdmusic/480/20221205/20221205174215657099.jpg,04:06
那个人,周延英（英子-effie）,那个人,kg_28772423,kg,http://imge.kugou.com/stdmusic/480/20170921/20170921081008563649.jpg,04:39
天真有邪,林宥嘉,今日营业中,wy_417833029,wy,http://p2.music.126.net/oVJmUJ1bPb_9eBOFCKLclQ==/109951163167730852.jpg,05:30
万物生 (Chinese Version),萨顶顶,万物生 (London Version),wy_472763319,wy,http://p1.music.126.net/XBozDHBJSjQWBym-3Ov3sg==/17922039533003962.jpg,04:33
天外来物,薛之谦,天外来物,wy_1463165983,wy,http://p1.music.126.net/MgH6SepYHboKPr6FR8yg-w==/109951167040040692.jpg,04:17
11,G.E.M.邓紫棋,T.I.M.E.,wy_2093526245,wy,http://p1.music.126.net/aJWtwvdYRXvKUpAE2C6NoA==/109951168919708423.jpg,03:48
非酋,薛黛霏、朱贺,非酋,kg_27371177,kg,http://imge.kugou.com/stdmusic/480/20210113/20210113154711350746.jpg,02:52
起风了,买辣椒也用券,起风了,kg_46341083,kg,http://imge.kugou.com/stdmusic/480/20220119/20220119171002204341.jpg,05:25
像鱼,王贰浪,像鱼,kg_48078370,kg,http://imge.kugou.com/stdmusic/480/20210113/20210113054235317399.jpg,04:45
喜欢寂寞,苏打绿,你在烦恼什么,kg_46893,kg,http://imge.kugou.com/stdmusic/480/20230302/20230302182202865320.jpg,04:24
昨日青空,尤长靖,昨日青空,kg_40140883,kg,http://imge.kugou.com/stdmusic/480/20180723/20180723104259983114.jpg,04:39
安静了,S.H.E,我的电台 FM S.H.E,kg_256654,kg,http://imge.kugou.com/stdmusic/480/20160907/20160907213101865569.jpg,04:31
想某人,王优秀,想某人,kg_115935817,kg,http://imge.kugou.com/stdmusic/480/20210805/20210805215422444360.jpg,03:38
Anywhere I Go,Vicetone,Anywhere I Go,tx_003EACsT31HrAc,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000001fxgXW0MCExk.jpg,03:19
爱是无畏的冒险,程今,爱是无畏的冒险,tx_002Nd4Yk1kZ6O8,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000003h7muZ2KeDoj.jpg,02:57
微微,傅如乔,微微,wy_1433434738,wy,http://p1.music.126.net/IUO87TLnekKYxGaWg_CbiQ==/109951164839657994.jpg,04:37
人间烟火,程响,人间烟火,wy_1929363849,wy,http://p1.music.126.net/Qq4xBlxzFdWDAcAaWLCs5w==/109951168739612959.jpg,03:53
向云端,小霞、海洋Bo,向云端,wy_2049512697,wy,http://p2.music.126.net/TmOHxaGnFNlwNX8aPz66oA==/109951168638913915.jpg,04:11
凄美地,郭顶,飞行器的执行周期,wy_436346833,wy,http://p2.music.126.net/wSMfGvFzOAYRU_yVIfquAA==/2946691248081599.jpg,04:10
你都忘了你有多美,新裤子,爱 广播 飞机,wy_1883144310,wy,http://p1.music.126.net/SxZuctkGs0hbbWQ7WdSEDA==/109951166580769433.jpg,03:06
念,薛之谦,念,wy_2064033095,wy,http://p2.music.126.net/QxtlFDWCaKICD00pGIlzNg==/109951168739117009.jpg,05:08
阿刁,赵雷,无法长大,wy_447925059,wy,http://p2.music.126.net/BJgUd9aD9gpougZFASRTTw==/18548761162235571.jpg,06:14
好想爱这个世界啊,华晨宇,好想爱这个世界啊,wy_1407358755,wy,http://p2.music.126.net/3-y4J1CayZI0k2NkNkTmDw==/109951164525748216.jpg,04:18
可愛くてごめん,HoneyWorks、かぴ,告白実行委員会 -FLYING SONGS- 恋してる,kg_182112599,kg,http://imge.kugou.com/stdmusic/480/20220804/20220804120903164991.jpg,03:39
精卫,30年前，50年后,丧失年轻，勿失年华,wy_1951069525,wy,http://p2.music.126.net/jSH_ikeooxveWl0BTc3Xkg==/109951166786983190.jpg,02:56
先走的人,胡海泉,胡（Banker）,wy_1416353252,wy,http://p2.music.126.net/HyYzebwVUkihyD_1Tiir6g==/109951164622650743.jpg,03:32
寂寞星球的玫瑰,G.E.M.邓紫棋,My Secret,wy_26117674,wy,http://p2.music.126.net/Q6ROCCNP2qtqmDzp4uswgA==/109951163069327659.jpg,04:46
来吧，占领我的无私,银河快递 (Galaxy Express),来吧，占领我的无私,tx_003NT4IF0yDX1S,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000002Y4m6U16tQBV.jpg,03:24
成都,赵雷,成都,wy_436514312,wy,http://p1.music.126.net/34YW1QtKxJ_3YnX9ZzKhzw==/2946691234868155.jpg,05:28
飘雪,韩雪,飘雪,wy_239023,wy,http://p4.music.126.net/YGFiBzyHMaufe-1Md-7f0w==/18570751394833681.jpg,05:36
十万嬉皮,万能青年旅店,万能青年旅店 同名专辑,wy_386837,wy,http://p3.music.126.net/W1kczDCB4-r-uNAznD1ljg==/108851651165850.jpg,04:44
岛屿,棱镜乐队,石头想有糖的温度,wy_1418131335,wy,http://p3.music.126.net/5QqPaUiTnTVxB5dZxDX3_Q==/109951165266634946.jpg,05:02
循迹,王子健,循迹,wy_2018432856,wy,http://p3.music.126.net/pwBA9COg9G8bUw0GOUlDzQ==/109951168271926504.jpg,03:17
三拜红尘凉,尹昔眠,三拜红尘凉,wy_1969320038,wy,http://p3.music.126.net/uuGMRSMzaULlWyGbG-99MQ==/109951167743445530.jpg,02:56
路过人间,郁可唯,路过人间,tx_0042jyJt0aQ0Gd,tx,https://y.gtimg.cn/music/photo_new/T002R500x500M000004NkJKq0GkHOa.jpg,04:05
极恶都市,夏日入侵企画,极恶都市,wy_570340213,wy,http://p4.music.126.net/ZqJp0p4eDzCUCboH-WZJYA==/109951163326946996.jpg,04:28
想去海边,夏日入侵企画,想去海边,wy_1413863166,wy,http://p3.music.126.net/sLWN-iePq4ESOMPER0IWgQ==/109951164602081973.jpg,04:27
你好么,歌之初乐队,你好么,wy_1905291615,wy,http://p3.music.126.net/1_XGtKgR1oDPDb7_gwQmgw==/109951166756368262.jpg,04:42
雾里,姚六一,雾里,kw_163982269,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/34/23/3953455792.jpg,04:12
Ref:rain,Aimer,Ref:rain,kw_56510314,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/16/50/2110191548.jpg,04:50
怎配,镜予歌、喧笑、陈亦洺,怎配,kw_232523851,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/14/11/2604904639.jpg,03:51
三十岁的女人,赵雷,吉姆餐厅,kw_5835277,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/91/70/1493504704.jpg,05:26
パズルガール (cover),鎖那,(un) sentimental spica,kw_6846961,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/82/42/958024918.jpg,04:33
情书,容祖儿、蔡卓妍、钟欣潼,情书,kw_211085739,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/12/24/2420715831.jpg,04:13
天空没有极限,G.E.M.邓紫棋,启示录,kw_233274166,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/88/99/1064612037.jpg,04:39
是妈妈是女儿,黄绮珊、希林娜依高,是妈妈是女儿,kw_259452857,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/78/3/2636978520.jpg,06:15
鼓楼,赵雷,无法长大,kw_16827759,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/50/55/2861943135.jpg,04:41
Viva La Vida,Coldplay,Viva la Vida (生命万岁),kg_705651,kg,http://imge.kugou.com/stdmusic/480/20170730/20170730003008746803.jpg,04:01
霓虹甜心,马赛克,霓虹甜心,kw_56514931,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/20/52/3746506517.jpg,04:31
小城夏天,LBI利比,小城夏天,kw_215613356,kw,http://img1.kwcdn.kuwo.cn/star/albumcover/500/58/74/2885095875.jpg,02:53
